1,39.7428,-105.124,,medical,compassionate-pain-management-2,dispensary,colorado,south-denver,"11950 West Colfax, Lakewood, CO, 80215",www.compassionatepm.com,info@compassionatepm.com,303-232-3620,NA,compassionate pain management 2
2,39.7428,-104.98,,medical,ivita-wellness,dispensary,colorado,denver-central,"1660 Pearl St., Denver, CO, 80203",www.ivitawellness.com,ivitapearl@gmail.com,(303)-952-91,,ivita wellness
3,39.7178,-104.987,,medical,herban-medicinals,dispensary,colorado,denver-central,"70 Broadway St., Suite 50 (Downstairs), Denver, CO, 80203",www.herbanmedicinals.com,info@herbanmedicinals.com,720-343-HERB,"October 16th, 2010 ",herban medicinals
4,52.3748,4.8965,,medical,sheeba-coffeeshop,dispensary,netherlands,amsterdam,"Warmoesstraat 73, 1012 HX Amsterdam, Centrum, Noord Holland",Wapples@gmail.com,,NA,"October 7th, 2010 ",sheeba coffeeshop
5,52.3724,4.89631,,medical,222-coffeeshop,dispensary,netherlands,amsterdam,"Oudezijds Voorburgwal 222, 1012 GJ Amsterdam, Centrum, Noord Holland",NA,Wapples@gmail.com,NA,"October 7th, 2010 ",222 coffeeshop
6,52.3717,4.89693,,medical,sensi-seeds-coffeeshop,dispensary,netherlands,amsterdam,"Oudezijds Achterburgwal 150, 1012 DV Amsterdam, Centrum, Noord Holland",www.sensiseeds.com,Wapples@gmail.com,+31 (0)20 -6,"October 7th, 2010 ",sensi seeds coffeeshop
7,37.3591,-121.908,,medical,golden-state-care-collective,dispensary,california,san-jose,"1249 N First St, San Jose, CA, 95112",NA,hi@gscc420.com,408-905-0040,"October 8th, 2010 ",golden state care collective
8,37.7692,-122.453,1,medical,foggydaze,dispensary,california,san-francisco,NA,foggydazedelivery.com,,NA,"November 2nd, 2010 ",foggydaze
9,38.8357,-104.786,,medical,rocky-mountain-miracles,dispensary,colorado,colorado-springs,"2316 E. Bijou St., Colorado Springs, CO, 80909",NA,Marks@weedmaps.com,NA,"October 11th, 2010 ",rocky mountain miracles
10,39.7246,-105.019,,medical,bryant-street-wellness-center,dispensary,colorado,denver-central,"543 Bryant St., Denver, CO, 80204",NA,b420wellness@gmail.com,NA,"November 8th, 2010 ",bryant street wellness center
